epoch,accuracy,learning_rate,loss,top3,val_accuracy,val_loss,val_top3
0,0.132079616189003,0.0010000000474974513,3.510917901992798,0.2832948565483093,0.04042179137468338,5.0296430587768555,0.07117750495672226
1,0.4250522255897522,0.0010000000474974513,1.987860083580017,0.6977894902229309,0.07381370663642883,4.507950782775879,0.20562389492988586
2,0.6735950708389282,0.0010000000474974513,1.081868052482605,0.9001429677009583,0.11950790882110596,4.817492961883545,0.2776801288127899
3,0.7984163761138916,0.0010000000474974513,0.6564153432846069,0.9546903967857361,0.04217926040291786,6.663376808166504,0.15553602576255798
4,0.8712196350097656,0.0010000000474974513,0.4343838393688202,0.9749257564544678,0.22583480179309845,4.124604225158691,0.42706501483917236
5,0.9053117632865906,0.0010000000474974513,0.31089967489242554,0.9842736124992371,0.3936731219291687,3.7931904792785645,0.5351493954658508
6,0.9209281802177429,0.0010000000474974513,0.2592807710170746,0.989772379398346,0.0869947299361229,9.088988304138184,0.2302284687757492
7,0.9391840100288391,0.0010000000474974513,0.19648778438568115,0.9921917915344238,0.2012302279472351,6.1112213134765625,0.34094902873039246
8,0.9471021890640259,0.0010000000474974513,0.17719976603984833,0.9928516149520874,0.03427065163850784,10.522032737731934,0.1441124826669693
9,0.9530407786369324,0.0010000000474974513,0.15438257157802582,0.9940613508224487,0.09753954410552979,9.746505737304688,0.24428822100162506
10,0.9557901620864868,0.0010000000474974513,0.14804670214653015,0.9942812919616699,0.16871704161167145,7.11652135848999,0.3567662537097931
11,0.9637083411216736,0.0010000000474974513,0.11652472615242004,0.9959309101104736,0.21001757681369781,6.289278984069824,0.3286467492580414
12,0.9874628782272339,0.0005000000237487257,0.04389052838087082,0.9995601177215576,0.07557117938995361,10.037752151489258,0.17047451436519623
13,0.9945012927055359,0.0005000000237487257,0.021694021299481392,0.9997800588607788,0.09929700940847397,9.796337127685547,0.2223198562860489
14,0.9959309101104736,0.0005000000237487257,0.018759818747639656,1.0,0.07908611744642258,11.222419738769531,0.17047451436519623
15,0.9915319681167603,0.0005000000237487257,0.032143622636795044,0.9990102052688599,0.1256590485572815,10.872990608215332,0.2759226858615875
16,0.9920818209648132,0.0005000000237487257,0.02984658069908619,0.9995601177215576,0.13708260655403137,9.124357223510742,0.2768014073371887
17,0.9912019968032837,0.0005000000237487257,0.0274001844227314,0.9997800588607788,0.15905097126960754,9.200145721435547,0.2899824380874634
18,0.9975805282592773,0.0002500000118743628,0.010503661818802357,1.0,0.1256590485572815,10.396848678588867,0.24692443013191223
19,0.9987902641296387,0.0002500000118743628,0.00617109565064311,1.0,0.1256590485572815,9.725042343139648,0.24692443013191223
20,0.9990102052688599,0.0002500000118743628,0.005305794067680836,1.0,0.1344463974237442,9.339730262756348,0.29261863231658936
